,name,pairname,catalogid1,catalogid2,nd_value,resolution,algm_ver,creationda,raster,fileurl,acquisitio,spec_type,sensor1,qual,dx,dy,dz,reg_src,num_gcps,meanresz,active,qc,rel_ver,acquisit_1,sensor2,st_area_sh,st_length_,geometry,clip_area,minx,miny,maxx,maxy
10,SETSM_WV01_20140708_10200100310D5000_10200100306BA300_seg1_2m_v3.0,WV01_20140708_10200100310D5000_10200100306BA300,10200100310D5000,10200100306BA300,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_WV01_20140708_10200100310D5000_10200100306BA300_seg1_2m_v3.0.tar.gz,2014-07-08,DEM,WV01,0.94822413,-1.206,-0.075,1.77,ICESat,961,-0.004,1,0,7,2014-07-08,WV01,2044241500,262024.92539,"POLYGON ((-2138483.335239373 822685.6246157333, -2040712 785830, -2040664 785806, -2040664 785788, -2044792 774118, -2045846 771158, -2046854 770022, -2047182 769742, -2047806 769222, -2048016 769294, -2056262 772390, -2111110 793010, -2112030 793362, -2132844 801502, -2138483.335239373 803719.6779270319, -2138483.335239373 822685.6246157333))",1826530962.36747,-2138483.33523937,769222,-2040664,822685.624615733
11,SETSM_W1W1_20150616_1020010040333000_1020010041CFE600_seg2_2m_v3.0,W1W1_20150616_1020010040333000_1020010041CFE600,1020010040333000,1020010041CFE600,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_W1W1_20150616_1020010040333000_1020010041CFE600_seg2_2m_v3.0.tar.gz,2015-06-20,DEM,WV01,0.34906737,0,0,0,,0,0,1,0,7,2015-06-16,WV01,91027322,54719.9373827,"POLYGON ((-2074088 769466, -2074048 769554, -2072760 772200, -2072672 772376, -2072640 772408, -2072576 772456, -2072546 772456, -2057372 766898, -2055076 766026, -2050462 764090, -2050214 763834, -2050182 763786, -2050182 763744, -2050254 763392, -2052158 760768, -2052168 760768, -2052280 760808, -2066036 766012, -2072752 768556, -2074016 769340, -2074088 769460, -2074088 769466))",91027322,-2074088,760768,-2050182,772456
12,SETSM_WV01_20131005_1020010025D7AD00_1020010026768200_seg1_2m_v3.0,WV01_20131005_1020010025D7AD00_1020010026768200,1020010025D7AD00,1020010026768200,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_WV01_20131005_1020010025D7AD00_1020010026768200_seg1_2m_v3.0.tar.gz,2013-10-05,DEM,WV01,0.9949078,1.967,0.455,0.969,ICESat,3100,0,1,2,7,2013-10-05,WV01,2116971622.04,265863.739266,"POLYGON ((-2138483.335239373 821515.4329794265, -2052038 788428, -2041280 784268, -2041264 784260, -2041256 784252, -2041256 784234, -2041272 784178, -2041336 783978, -2043776 777314, -2047766 766874, -2047798 766850, -2047832 766858, -2048664 767170, -2138483.335239373 801988.0775415829, -2138483.335239373 821515.4329794265))",1857108385.02803,-2138483.33523937,766850,-2041256,821515.432979427
13,SETSM_W1W1_20130411_1020010021A47D00_1020010022450500_seg1_2m_v3.0,W1W1_20130411_1020010021A47D00_1020010022450500,1020010021A47D00,1020010022450500,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_W1W1_20130411_1020010021A47D00_1020010022450500_seg1_2m_v3.0.tar.gz,2013-04-11,DEM,WV01,0.94889015,0.087,-0.072,0.643,ICESat,2955,0,1,0,7,2013-04-11,WV01,1964437212,269278.504508,"POLYGON ((-2138483.335239373 814788.0030207161, -2137336 814344, -2113610 805132, -2082928 793132, -2052662 781282, -2042520 777286, -2040952 776662, -2040888 776630, -2040880 776622, -2041000 776364, -2046128 765500, -2046230 765300, -2046302 765196, -2046750 764628, -2048030 763020, -2048110 762940, -2048128 762940, -2049200 763276, -2138483.335239373 796206.2146774643, -2138483.335239373 814788.0030207161))",1657938873.88403,-2138483.33523937,762940,-2040880,814788.003020716
14,SETSM_WV01_20150616_1020010041CFE600_102001003F747400_seg1_2m_v3.0,WV01_20150616_1020010041CFE600_102001003F747400,1020010041CFE600,102001003F747400,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_WV01_20150616_1020010041CFE600_102001003F747400_seg1_2m_v3.0.tar.gz,2015-06-16,DEM,WV01,0.48217695,0.508,0.007,-0.474,ICESat,716,0.003,1,0,7,2015-06-16,WV01,2050827081.72,262669.367276,"POLYGON ((-2138483.335239373 795648.7616089992, -2059127.999899998 766576, -2050098 763256, -2050042 763232, -2050034 763224, -2050034 763214, -2050418 762126, -2051442 759440, -2055856 747906, -2056472 746338, -2056512 746250, -2056538 746250, -2138483.335239373 776425.2898099028, -2138483.335239373 795648.7616089992))",1645304159.89455,-2138483.33523937,746250,-2050034,795648.761608999
15,SETSM_WV01_20150620_1020010040333000_102001003E206100_seg2_2m_v3.0,WV01_20150620_1020010040333000_102001003E206100,1020010040333000,102001003E206100,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n69w156/SETSM_WV01_20150620_1020010040333000_102001003E206100_seg2_2m_v3.0.tar.gz,2015-06-20,DEM,WV01,0.13533931,2.119,-1.757,0.164,ICESat,11,-0.002,1,0,7,2015-06-20,WV01,462097218,97795.9291342,"POLYGON ((-2086996 775330, -2058652 781058, -2058610 781058, -2051982 780246, -2050966 779870, -2046758 778294, -2046742 778286, -2045462 777310, -2045478 776906, -2050558 762882, -2050990 762658, -2054292 761578, -2054312 761578, -2082022 772062, -2082230 772142, -2086700 774884, -2086732 774908, -2086860 775020, -2087004 775260, -2086996 775330))",462097218,-2087004,761578,-2045462,781058
16,SETSM_WV01_20150404_102001003B5A0F00_102001003D671800_seg1_2m_v3.0,WV01_20150404_102001003B5A0F00_102001003D671800,102001003B5A0F00,102001003D671800,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_WV01_20150404_102001003B5A0F00_102001003D671800_seg1_2m_v3.0.tar.gz,2015-04-04,DEM,WV01,0.99739676,-0.167,-0.239,-0.885,ICESat,3086,0.001,1,2,7,2015-04-04,WV01,2294496603.77,271840.567284,"POLYGON ((-2052893.999899998 762538, -2052862 762650, -2052598 763474, -2052270 764482, -2048416 776000, -2047544 778488, -2047488 778640, -2047440 778760, -2047216 779288, -2046840 780152, -2046784 780264, -2046768 780288, -2046704 780352, -2045802 780352, -1981258 756298, -1969798.945668124 752010.1261277067, -1969798.945668124 730785.5301835537, -1995226.000100002 740420, -2052854 762476, -2052886 762492, -2052894 762500, -2052893.999899998 762538))",1674853980.16395,-2052894,730785.530183554,-1969798.94566812,780352
17,SETSM_WV01_20160720_1020010053AB7100_1020010053AF1100_seg4_2m_v3.0,WV01_20160720_1020010053AB7100_1020010053AF1100,1020010053AB7100,1020010053AF1100,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_WV01_20160720_1020010053AB7100_1020010053AF1100_seg4_2m_v3.0.tar.gz,2016-07-20,DEM,WV01,0.53674435,-29.549,-1.457,70.511,ICESat,74,63.941,1,0,7,2016-07-20,WV01,319163637.551,70573.6152758,"POLYGON ((-1974160 734492, -1973712 735780, -1969798.945668124 746933.4945302906, -1969798.945668124 732027.769435762, -1972439.999899998 732998, -1972472 733014, -1974024 733982, -1974032 733990, -1974160 734446, -1974160 734492))",34006951.9629197,-1974160,732027.769435762,-1969798.94566812,746933.494530291
18,SETSM_WV01_20120710_102001001C6F3E00_102001001DC92D00_seg1_2m_v3.0,WV01_20120710_102001001C6F3E00_102001001DC92D00,102001001C6F3E00,102001001DC92D00,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_WV01_20120710_102001001C6F3E00_102001001DC92D00_seg1_2m_v3.0.tar.gz,2012-07-10,DEM,WV01,0.68945947,0.813,0.055,1.383,ICESat,907,0,1,0,7,2012-07-10,WV01,1858272774,235715.104074,"POLYGON ((-2052018 768862, -2051466 770206, -2044932 785174, -2044924 785182, -2043788 785734, -2043758 785734, -2015744 775016, -1969798.945668124 757423.2488756105, -1969798.945668124 738004.1415482576, -2051754 768728, -2052010 768832, -2052018 768840, -2052018 768862))",1548654854.85892,-2052018,738004.141548258,-1969798.94566812,785734
19,SETSM_W1W2_20160720_1020010053AB7100_10300100570FB000_seg2_2m_v3.0,W1W2_20160720_1020010053AB7100_10300100570FB000,1020010053AB7100,10300100570FB000,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_W1W2_20160720_1020010053AB7100_10300100570FB000_seg2_2m_v3.0.tar.gz,2016-07-20,DEM,WV01,0.6951146,0.127,1.085,-4.498,ICESat,56,-0.169,1,0,7,2016-07-24,WV02,134833152.02,46794.1424757,"POLYGON ((-1978578 739958, -1978482 740334, -1978210 741246, -1975730 749406, -1974746 752630, -1974618 753030, -1974586 753094, -1974522 753158, -1974490 753174, -1974428 753174, -1974108 753134, -1974068 753126, -1974020 753110, -1969798.945668124 751519.3144209852, -1969798.945668124 736829.881782294, -1969846 736824, -1970062 736808, -1970092 736808, -1971268.000100002 737136, -1971468 737200, -1972106 737432, -1975658 738760, -1977898 739616, -1978578 739912, -1978578 739958))",101277355.359886,-1978578,736808,-1969798.94566812,753174
20,SETSM_W1W2_20120316_1020010018A84900_1030010012990F00_seg1_2m_v3.0,W1W2_20120316_1020010018A84900_1030010012990F00,1020010018A84900,1030010012990F00,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_W1W2_20120316_1020010018A84900_1030010012990F00_seg1_2m_v3.0.tar.gz,2012-03-25,DEM,WV01,0.98221349,0.178,-1.397,-7.547,ICESat,1021,-0.022,1,2,7,2012-03-16,WV02,1050583522.01,243817.056635,"POLYGON ((-2046828 777020, -2042598 785554, -2042590 785562, -2042560 785562, -2042511.999899998 785546, -2041816 785284, -2013288 774390, -2008290 772478, -1986118 763984, -1969798.945668124 757723.3883423153, -1969798.945668124 747837.3517017978, -2046828 776998, -2046828 777020))",753181763.100072,-2046828,747837.351701798,-1969798.94566812,785562
21,SETSM_WV01_20170614_1020010061544600_102001005F51B800_seg1_2m_v3.0,WV01_20170614_1020010061544600_102001005F51B800,1020010061544600,102001005F51B800,-9999,2,SETSM,3.2.8,2018-04-12,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_WV01_20170614_1020010061544600_102001005F51B800_seg1_2m_v3.0.tar.gz,2017-06-14,DEM,WV01,0.90952513,-0.511,1.013,0.117,ICESat,1056,-0.002,1,0,7,2017-06-14,WV01,2189853752.9,266241.342797,"POLYGON ((-2054956 753786, -2050054.000100002 768256, -2048710 772030, -2048694 772062, -2048664 772062, -2048488 771998, -2024961.999899998 763192, -1969798.945668124 742460.7780537569, -1969798.945668124 722195.8135459331, -2044702 749780, -2054740 753508, -2054812 753548, -2054916 753612, -2054956 753652, -2054956 753786))",1688115726.12961,-2054956,722195.813545933,-1969798.94566812,772062
22,SETSM_WV01_20120614_102001001A94E300_102001001B600200_seg1_2m_v3.0,WV01_20120614_102001001A94E300_102001001B600200,102001001A94E300,102001001B600200,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_WV01_20120614_102001001A94E300_102001001B600200_seg1_2m_v3.0.tar.gz,2012-06-14,DEM,WV01,0.88061119,-0.23,0.268,0.847,ICESat,1023,0.003,1,2,7,2012-06-14,WV01,2269955470.25,269304.164658,"POLYGON ((-2056970 751166, -2056906 751406, -2055218 757308, -2055010 758028, -2054042 761076, -2054002 761180, -2053938 761332, -2053834 761564, -2053618 762028, -2053226 762844, -2051642 766068, -2050266.000100002 768844, -2049698.000100002 769940, -2049658 769980, -2049636 769980, -2049564 769956, -2048812 769676, -2024726 760628, -2003986 752818, -1969798.945668124 739937.9273555491, -1969798.945668124 719443.6182903887, -2056890 751072, -2056962 751104, -2056970 751112, -2056970 751166))",1767951932.41722,-2056970,719443.618290389,-1969798.94566812,769980
23,SETSM_WV01_20160720_1020010053AB7100_1020010053AF1100_seg1_2m_v3.0,WV01_20160720_1020010053AB7100_1020010053AF1100,1020010053AB7100,1020010053AF1100,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_WV01_20160720_1020010053AB7100_1020010053AF1100_seg1_2m_v3.0.tar.gz,2016-07-20,DEM,WV01,0.6953438,-0.132,0.408,0.145,ICESat,500,-0.001,1,0,7,2016-07-20,WV01,1558043380.02,205709.679987,"POLYGON ((-2052028 762982, -2051932 763270, -2051692 763966, -2046870 777810, -2046390 779170, -2046070 780066, -2045998.000100002 780258, -2045990 780274, -2045968 780274, -2045920 780258, -2036212 776596, -1969874 751542, -1969798.945668124 751513.4309317375, -1969798.945668124 738833.250754774, -1969922 738406, -1970122 737726, -1971202 734528, -1973432 734224, -1975034 734112, -1983912 737382, -2051660 762792, -2051908 762888, -2052012 762936, -2052028 762952, -2052028 762982))",1537213414.06967,-2052028,734112,-1969798.94566812,780274
24,SETSM_WV01_20160720_1020010053AB7100_1020010053AF1100_seg2_2m_v3.0,WV01_20160720_1020010053AB7100_1020010053AF1100,1020010053AB7100,1020010053AF1100,-9999,2,SETSM,3.2.2,2017-09-28,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_WV01_20160720_1020010053AB7100_1020010053AF1100_seg2_2m_v3.0.tar.gz,2016-07-20,DEM,WV01,0.68123306,-0.686,-6.076,-0.209,ICESat,22,-0.055,1,0,7,2016-07-20,WV01,56578727.9644,42454.7815292,"POLYGON ((-2043372 759750, -2043316 759918, -2038854 772742, -2037742 775926, -2037646 776190, -2037582 776342, -2036950 776854, -2036904 776854, -2036856.000100002 776838, -2035016 776142, -2034968 776118, -2034960 776110, -2034960 776072, -2035016 775744, -2038552 763568, -2039942 758824, -2040062 758472, -2040076 758472, -2040820 758744, -2041548 759016, -2043324 759688, -2043372 759712, -2043372 759750))",56578727.9643994,-2043372,758472,-2034960,776854
25,SETSM_W1W2_20160720_1020010053AB7100_10300100570FB000_seg1_2m_v3.0,W1W2_20160720_1020010053AB7100_10300100570FB000,1020010053AB7100,10300100570FB000,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_W1W2_20160720_1020010053AB7100_10300100570FB000_seg1_2m_v3.0.tar.gz,2016-07-20,DEM,WV01,0.69448737,0.924,3.658,-3.752,ICESat,545,-0.005,1,0,7,2016-07-24,WV02,1132056510,188763.283589,"POLYGON ((-2050624 767014, -2050520 767326, -2046512 778830, -2046344 779294, -2046048 780062, -2045992 780198, -2045960 780262, -2045938 780262, -2045866 780238, -2021420 771016, -1971214 752038, -1971150 752006, -1971110 751982, -1971070 751950, -1971070 751932, -1971190 751508, -1973190 744598, -1975076 738646, -1975092 738614, -1975142 738614, -1975182 738622, -1975622 738758, -1977550 739430, -2008342 751028, -2043202 764170, -2050600 766968, -2050624 766992, -2050624 767014))",1132056510,-2050624,738614,-1971070,780262
26,SETSM_W1W2_20150404_102001003D671800_1030010040656F00_seg1_2m_v3.0,W1W2_20150404_102001003D671800_1030010040656F00,102001003D671800,1030010040656F00,-9999,2,SETSM,3.2.8,2017-12-26,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/geocell/v3.0/2m/n70w156/SETSM_W1W2_20150404_102001003D671800_1030010040656F00_seg1_2m_v3.0.tar.gz,2015-04-04,DEM,WV01,0.98571654,-0.45,-0.286,-1.175,ICESat,526,-0.005,1,0,7,2015-04-06,WV02,186467052.956,88050.5755631,"POLYGON ((-2013562 747518, -2013546 747614, -2012970 749870, -2012458 751844, -2012450 751852, -2012428 751852, -2012332 751820, -1998464.000100002 746680, -1978384 739192, -1975856 738216, -1975760.000100002 738176, -1975664 738128, -1975640 738104, -1975640 738054, -1975656 737982, -1976552 734328, -1976752 733536, -1976784 733440, -1976808 733392, -1976826 733392, -1979032 734208, -1979816 734504, -1992234 739250, -2013265.999899998 747328, -2013506 747424, -2013554 747448, -2013562 747456, -2013562 747518))",186467052.955482,-2013562,733392,-1975640,751852
